id,type,name,building_type,coordinates
979880932,way,2ο Γενικό Λύκειο Τρίπολης,school,"[{""lat"": 37.5153299, ""lon"": 22.3878963}, {""lat"": 37.5152124, ""lon"": 22.3879421}, {""lat"": 37.5153631, ""lon"": 22.3885565}, {""lat"": 37.5154805, ""lon"": 22.3885108}, {""lat"": 37.5153299, ""lon"": 22.3878963}]"
979880931,way,2ο Γυμνάσιο Τρίπολης,school,"[{""lat"": 37.5157459, ""lon"": 22.3877368}, {""lat"": 37.5156284, ""lon"": 22.3877826}, {""lat"": 37.5157791, ""lon"": 22.3883971}, {""lat"": 37.5158965, ""lon"": 22.3883513}, {""lat"": 37.5157459, ""lon"": 22.3877368}]"
645213523,way,2ο Δημοτικό Σχολείο Τρίπολης,school,"[{""lat"": 37.5109022, ""lon"": 22.3694617}, {""lat"": 37.511067, ""lon"": 22.3695938}, {""lat"": 37.5109783, ""lon"": 22.3697697}, {""lat"": 37.5108135, ""lon"": 22.3696375}, {""lat"": 37.5109022, ""lon"": 22.3694617}]"
813613258,way,4η Μεραρχία Πεζικού,yes,"[{""lat"": 37.5106904, ""lon"": 22.3636614}, {""lat"": 37.5105267, ""lon"": 22.3636021}, {""lat"": 37.5103159, ""lon"": 22.3635258}, {""lat"": 37.5102759, ""lon"": 22.3637012}, {""lat"": 37.5106504, ""lon"": 22.3638368}, {""lat"": 37.5106904, ""lon"": 22.3636614}]"
980459027,way,Lidl,yes,"[{""lat"": 37.5123545, ""lon"": 22.3841353}, {""lat"": 37.5121766, ""lon"": 22.3850517}, {""lat"": 37.5118447, ""lon"": 22.3849494}, {""lat"": 37.511953, ""lon"": 22.384391}, {""lat"": 37.5119963, ""lon"": 22.3844044}, {""lat"": 37.5120658, ""lon"": 22.3840462}, {""lat"": 37.5123545, ""lon"": 22.3841353}]"
1013523390,way,Tripoli City Hotel,yes,"[{""lat"": 37.5278019, ""lon"": 22.3716783}, {""lat"": 37.5276471, ""lon"": 22.3716636}, {""lat"": 37.527614, ""lon"": 22.3719884}, {""lat"": 37.5275814, ""lon"": 22.3719799}, {""lat"": 37.5275724, ""lon"": 22.3720437}, {""lat"": 37.5276129, ""lon"": 22.3722409}, {""lat"": 37.5276426, ""lon"": 22.372284}, {""lat"": 37.5276662, ""lon"": 22.3722646}, {""lat"": 37.5278313, ""lon"": 22.3725446}, {""lat"": 37.5279657, ""lon"": 22.3723965}, {""lat"": 37.5278095, ""lon"": 22.3721138}, {""lat"": 37.5278888, ""lon"": 22.3721011}, {""lat"": 37.5278677, ""lon"": 22.3719834}, {""lat"": 37.5277877, ""lon"": 22.3719933}, {""lat"": 37.5278019, ""lon"": 22.3716783}]"
549650545,way,Unnamed Apartments,apartments,"[{""lat"": 37.5107084, ""lon"": 22.3719914}, {""lat"": 37.510634, ""lon"": 22.3719438}, {""lat"": 37.5106148, ""lon"": 22.3719934}, {""lat"": 37.510477, ""lon"": 22.3719149}, {""lat"": 37.5103978, ""lon"": 22.372051}, {""lat"": 37.5106388, ""lon"": 22.3721878}, {""lat"": 37.5107084, ""lon"": 22.3719914}]"
1360081798,way,Unnamed Chapel,chapel,"[{""lat"": 37.5088087, ""lon"": 22.3795815}, {""lat"": 37.508767, ""lon"": 22.3795804}, {""lat"": 37.508766, ""lon"": 22.3796449}, {""lat"": 37.5088077, ""lon"": 22.379646}, {""lat"": 37.5088087, ""lon"": 22.3795815}]"
549650175,way,Unnamed Church,church,"[{""lat"": 37.5133844, ""lon"": 22.3773455}, {""lat"": 37.5132599, ""lon"": 22.3773635}, {""lat"": 37.5132671, ""lon"": 22.3774423}, {""lat"": 37.513262, ""lon"": 22.3774431}, {""lat"": 37.5132735, ""lon"": 22.3775697}, {""lat"": 37.5132873, ""lon"": 22.3775677}, {""lat"": 37.5132959, ""lon"": 22.3776621}, {""lat"": 37.5134151, ""lon"": 22.3776449}, {""lat"": 37.5134074, ""lon"": 22.3775596}, {""lat"": 37.5134141, ""lon"": 22.3775587}, {""lat"": 37.5134019, ""lon"": 22.377424}, {""lat"": 37.5133916, ""lon"": 22.3774255}, {""lat"": 37.5133844, ""lon"": 22.3773455}]"
998664085,way,Unnamed Church,church,"[{""lat"": 37.5309352, ""lon"": 22.3561043}, {""lat"": 37.5309119, ""lon"": 22.3559789}, {""lat"": 37.5307615, ""lon"": 22.3560233}, {""lat"": 37.5307847, ""lon"": 22.3561487}, {""lat"": 37.5309352, ""lon"": 22.3561043}]"
