name,highway,coordinates
11ου Συντάγματος,residential,"[{""lat"": 37.5163202, ""lon"": 22.3670926}, {""lat"": 37.5163008, ""lon"": 22.3671941}, {""lat"": 37.5162872, ""lon"": 22.3672417}, {""lat"": 37.5160483, ""lon"": 22.3678892}, {""lat"": 37.5160213, ""lon"": 22.3679662}, {""lat"": 37.5159004, ""lon"": 22.3683196}, {""lat"": 37.5158288, ""lon"": 22.368505}, {""lat"": 37.5157759, ""lon"": 22.3686216}, {""lat"": 37.5157207, ""lon"": 22.3687294}, {""lat"": 37.5156562, ""lon"": 22.3688413}, {""lat"": 37.5155724, ""lon"": 22.3689578}, {""lat"": 37.5154084, ""lon"": 22.3691304}]"
11ου Συντάγματος,residential,"[{""lat"": 37.516339, ""lon"": 22.366991}, {""lat"": 37.5163202, ""lon"": 22.3670926}]"
11ου Συντάγματος,residential,"[{""lat"": 37.5154084, ""lon"": 22.3691304}, {""lat"": 37.5153394, ""lon"": 22.3691592}, {""lat"": 37.5145294, ""lon"": 22.3704448}, {""lat"": 37.5140875, ""lon"": 22.3712314}]"
25ης Μαρτίου,residential,"[{""lat"": 37.5094034, ""lon"": 22.3677442}, {""lat"": 37.5091407, ""lon"": 22.367468}, {""lat"": 37.5089141, ""lon"": 22.3672441}, {""lat"": 37.508729, ""lon"": 22.3670563}, {""lat"": 37.5084889, ""lon"": 22.366825}, {""lat"": 37.5082551, ""lon"": 22.3665923}]"
25ης Μαρτίου,residential,"[{""lat"": 37.5094034, ""lon"": 22.3677442}, {""lat"": 37.5096286, ""lon"": 22.3679558}, {""lat"": 37.5097809, ""lon"": 22.3681053}, {""lat"": 37.5100137, ""lon"": 22.3683379}, {""lat"": 37.5101881, ""lon"": 22.3685174}, {""lat"": 37.5102921, ""lon"": 22.3686326}, {""lat"": 37.5104212, ""lon"": 22.3687831}, {""lat"": 37.5104837, ""lon"": 22.3688716}, {""lat"": 37.5109096, ""lon"": 22.3693828}, {""lat"": 37.511132, ""lon"": 22.3696284}, {""lat"": 37.5112799, ""lon"": 22.3697907}, {""lat"": 37.5114045, ""lon"": 22.3699217}]"
28ης Οκτωβρίου,secondary,"[{""lat"": 37.5157332, ""lon"": 22.3720822}, {""lat"": 37.5160028, ""lon"": 22.3722224}, {""lat"": 37.5163592, ""lon"": 22.372436}, {""lat"": 37.5166872, ""lon"": 22.3726288}, {""lat"": 37.5167296, ""lon"": 22.3726503}, {""lat"": 37.5167909, ""lon"": 22.3726714}]"
28ης Οκτωβρίου,secondary,"[{""lat"": 37.5137837, ""lon"": 22.3711343}, {""lat"": 37.5133407, ""lon"": 22.3712017}, {""lat"": 37.512789, ""lon"": 22.3713082}, {""lat"": 37.5126588, ""lon"": 22.3713473}, {""lat"": 37.5120797, ""lon"": 22.3715039}, {""lat"": 37.512017, ""lon"": 22.371531}, {""lat"": 37.5119482, ""lon"": 22.3715812}, {""lat"": 37.5118487, ""lon"": 22.3716659}, {""lat"": 37.511446, ""lon"": 22.3720522}, {""lat"": 37.5108174, ""lon"": 22.372711}]"
28ης Οκτωβρίου,secondary,"[{""lat"": 37.5157332, ""lon"": 22.3720822}, {""lat"": 37.5152367, ""lon"": 22.3718256}, {""lat"": 37.5147056, ""lon"": 22.3715407}, {""lat"": 37.5142903, ""lon"": 22.3713329}, {""lat"": 37.5140875, ""lon"": 22.3712314}, {""lat"": 37.5139157, ""lon"": 22.3711533}, {""lat"": 37.5138538, ""lon"": 22.3711347}, {""lat"": 37.5138181, ""lon"": 22.3711292}, {""lat"": 37.5137837, ""lon"": 22.3711343}]"
Unnamed Road,service,"[{""lat"": 37.5127375, ""lon"": 22.4162266}, {""lat"": 37.5127199, ""lon"": 22.4162735}, {""lat"": 37.5127095, ""lon"": 22.4163237}, {""lat"": 37.5127066, ""lon"": 22.4163754}, {""lat"": 37.5127105, ""lon"": 22.4164214}, {""lat"": 37.5127205, ""lon"": 22.4164794}, {""lat"": 37.5127348, ""lon"": 22.4165209}, {""lat"": 37.5127503, ""lon"": 22.4165498}]"
Unnamed Road,service,"[{""lat"": 37.5383364, ""lon"": 22.4011056}, {""lat"": 37.5383151, ""lon"": 22.4010862}, {""lat"": 37.5382779, ""lon"": 22.4010654}, {""lat"": 37.5382428, ""lon"": 22.4010493}, {""lat"": 37.5382151, ""lon"": 22.4010426}, {""lat"": 37.5381907, ""lon"": 22.4010412}, {""lat"": 37.5381375, ""lon"": 22.4010319}, {""lat"": 37.5380837, ""lon"": 22.4010233}, {""lat"": 37.5379596, ""lon"": 22.4010309}]"
