name,id,type,highway,name_en,coordinates
11ου Συντάγματος,102253630,way,residential,11ου Συντάγματος,"[{'lat': 37.5154084, 'lon': 22.3691304}, {'lat': 37.5153394, 'lon': 22.3691592}, {'lat': 37.5145294, 'lon': 22.3704448}, {'lat': 37.5140875, 'lon': 22.3712314}, {'lat': 37.516339, 'lon': 22.366991}, {'lat': 37.5163202, 'lon': 22.3670926}, {'lat': 37.5163202, 'lon': 22.3670926}, {'lat': 37.5163008, 'lon': 22.3671941}, {'lat': 37.5162872, 'lon': 22.3672417}, {'lat': 37.5160483, 'lon': 22.3678892}, {'lat': 37.5160213, 'lon': 22.3679662}, {'lat': 37.5159004, 'lon': 22.3683196}, {'lat': 37.5158288, 'lon': 22.368505}, {'lat': 37.5157759, 'lon': 22.3686216}, {'lat': 37.5157207, 'lon': 22.3687294}, {'lat': 37.5156562, 'lon': 22.3688413}, {'lat': 37.5155724, 'lon': 22.3689578}, {'lat': 37.5154084, 'lon': 22.3691304}]"
25ης Μαρτίου,215617973,way,residential,25ης Μαρτίου,"[{'lat': 37.5094034, 'lon': 22.3677442}, {'lat': 37.5091407, 'lon': 22.367468}, {'lat': 37.5089141, 'lon': 22.3672441}, {'lat': 37.508729, 'lon': 22.3670563}, {'lat': 37.5084889, 'lon': 22.366825}, {'lat': 37.5082551, 'lon': 22.3665923}, {'lat': 37.5094034, 'lon': 22.3677442}, {'lat': 37.5096286, 'lon': 22.3679558}, {'lat': 37.5097809, 'lon': 22.3681053}, {'lat': 37.5100137, 'lon': 22.3683379}, {'lat': 37.5101881, 'lon': 22.3685174}, {'lat': 37.5102921, 'lon': 22.3686326}, {'lat': 37.5104212, 'lon': 22.3687831}, {'lat': 37.5104837, 'lon': 22.3688716}, {'lat': 37.5109096, 'lon': 22.3693828}, {'lat': 37.511132, 'lon': 22.3696284}, {'lat': 37.5112799, 'lon': 22.3697907}, {'lat': 37.5114045, 'lon': 22.3699217}]"
28ης Οκτωβρίου,371542654,way,secondary,28ης Οκτωβρίου,"[{'lat': 37.5157332, 'lon': 22.3720822}, {'lat': 37.5152367, 'lon': 22.3718256}, {'lat': 37.5147056, 'lon': 22.3715407}, {'lat': 37.5142903, 'lon': 22.3713329}, {'lat': 37.5140875, 'lon': 22.3712314}, {'lat': 37.5139157, 'lon': 22.3711533}, {'lat': 37.5138538, 'lon': 22.3711347}, {'lat': 37.5138181, 'lon': 22.3711292}, {'lat': 37.5137837, 'lon': 22.3711343}, {'lat': 37.5137837, 'lon': 22.3711343}, {'lat': 37.5133407, 'lon': 22.3712017}, {'lat': 37.512789, 'lon': 22.3713082}, {'lat': 37.5126588, 'lon': 22.3713473}, {'lat': 37.5120797, 'lon': 22.3715039}, {'lat': 37.512017, 'lon': 22.371531}, {'lat': 37.5119482, 'lon': 22.3715812}, {'lat': 37.5118487, 'lon': 22.3716659}, {'lat': 37.511446, 'lon': 22.3720522}, {'lat': 37.5108174, 'lon': 22.372711}, {'lat': 37.5157332, 'lon': 22.3720822}, {'lat': 37.5160028, 'lon': 22.3722224}, {'lat': 37.5163592, 'lon': 22.372436}, {'lat': 37.5166872, 'lon': 22.3726288}, {'lat': 37.5167296, 'lon': 22.3726503}, {'lat': 37.5167909, 'lon': 22.3726714}]"
Άκοβας,265000872,way,residential,Άκοβας,"[{'lat': 37.5058707, 'lon': 22.3667526}, {'lat': 37.5047655, 'lon': 22.3671451}]"
Άργους - Τρίπολης,1268368977,way,primary,Άργους - Τρίπολης,"[{'lat': 37.4982217, 'lon': 22.4212361}, {'lat': 37.4981121, 'lon': 22.4217188}, {'lat': 37.4947445, 'lon': 22.4787596}, {'lat': 37.4947307, 'lon': 22.4788394}, {'lat': 37.4947174, 'lon': 22.4789608}, {'lat': 37.4947089, 'lon': 22.4790989}, {'lat': 37.4947089, 'lon': 22.4792712}, {'lat': 37.4947106, 'lon': 22.4795305}, {'lat': 37.4947106, 'lon': 22.4797205}, {'lat': 37.4947106, 'lon': 22.4798138}, {'lat': 37.4947038, 'lon': 22.4802086}, {'lat': 37.4946902, 'lon': 22.4805261}, {'lat': 37.4946698, 'lon': 22.4808523}, {'lat': 37.4946403, 'lon': 22.4811561}, {'lat': 37.4946147, 'lon': 22.481478}, {'lat': 37.494603, 'lon': 22.4817489}, {'lat': 37.4946126, 'lon': 22.4819782}, {'lat': 37.4946296, 'lon': 22.482221}, {'lat': 37.4946743, 'lon': 22.4824557}, {'lat': 37.4947871, 'lon': 22.4828272}, {'lat': 37.4949371, 'lon': 22.4832188}, {'lat': 37.4951106, 'lon': 22.4836533}, {'lat': 37.4951797, 'lon': 22.4837901}, {'lat': 37.4952712, 'lon': 22.4839215}, {'lat': 37.4954468, 'lon': 22.4841414}, {'lat': 37.4955915, 'lon': 22.4843171}, {'lat': 37.4957703, 'lon': 22.4845451}, {'lat': 37.4958511, 'lon': 22.4846792}, {'lat': 37.4959533, 'lon': 22.4849032}, {'lat': 37.4960125, 'lon': 22.4850602}, {'lat': 37.4960357, 'lon': 22.4851312}, {'lat': 37.4961437, 'lon': 22.485512}, {'lat': 37.4962501, 'lon': 22.4859023}, {'lat': 37.4963108, 'lon': 22.4862108}, {'lat': 37.4963709, 'lon': 22.486709}, {'lat': 37.496379, 'lon': 22.4867832}, {'lat': 37.4963914, 'lon': 22.4868895}, {'lat': 37.4964744, 'lon': 22.4875986}, {'lat': 37.4965086, 'lon': 22.4878871}, {'lat': 37.4965629, 'lon': 22.4883453}, {'lat': 37.4965862, 'lon': 22.4885192}, {'lat': 37.4966652, 'lon': 22.4889547}, {'lat': 37.4966992, 'lon': 22.4891473}, {'lat': 37.4968205, 'lon': 22.4897003}, {'lat': 37.4968854, 'lon': 22.4899524}, {'lat': 37.4970247, 'lon': 22.490395}, {'lat': 37.497169, 'lon': 22.4907743}, {'lat': 37.4974567, 'lon': 22.4913901}, {'lat': 37.4978079, 'lon': 22.4922511}, {'lat': 37.4980462, 'lon': 22.4928358}, {'lat': 37.4982526, 'lon': 22.4933669}, {'lat': 37.4984288, 'lon': 22.4937956}, {'lat': 37.4985513, 'lon': 22.4940273}, {'lat': 37.4987011, 'lon': 22.4942762}, {'lat': 37.4988441, 'lon': 22.494465}, {'lat': 37.5009182, 'lon': 22.4120055}, {'lat': 37.5008999, 'lon': 22.4120591}, {'lat': 37.5005978, 'lon': 22.4129461}, {'lat': 37.5004945, 'lon': 22.4132678}, {'lat': 37.4999879, 'lon': 22.4148594}, {'lat': 37.4998013, 'lon': 22.4154484}, {'lat': 37.4997252, 'lon': 22.4156888}, {'lat': 37.4993276, 'lon': 22.4169021}, {'lat': 37.4991853, 'lon': 22.4173362}, {'lat': 37.4991061, 'lon': 22.4176065}, {'lat': 37.4989368, 'lon': 22.4181846}, {'lat': 37.4988836, 'lon': 22.4183737}, {'lat': 37.4988059, 'lon': 22.4186647}, {'lat': 37.498692, 'lon': 22.4191716}, {'lat': 37.498625, 'lon': 22.4195123}, {'lat': 37.4984585, 'lon': 22.4202388}, {'lat': 37.4983599, 'lon': 22.4206355}, {'lat': 37.4983245, 'lon': 22.4207913}, {'lat': 37.498256, 'lon': 22.4210875}, {'lat': 37.5224312, 'lon': 22.5077046}, {'lat': 37.5229594, 'lon': 22.5079139}, {'lat': 37.5234023, 'lon': 22.5080989}, {'lat': 37.523783, 'lon': 22.5082947}, {'lat': 37.5240915, 'lon': 22.5084543}, {'lat': 37.5244085, 'lon': 22.5086287}, {'lat': 37.5246254, 'lon': 22.5087507}, {'lat': 37.5248722, 'lon': 22.5089023}, {'lat': 37.5252976, 'lon': 22.5091504}, {'lat': 37.5255061, 'lon': 22.5092845}, {'lat': 37.5257582, 'lon': 22.5094642}, {'lat': 37.5260571, 'lon': 22.5097029}, {'lat': 37.5262453, 'lon': 22.5098839}, {'lat': 37.5264676, 'lon': 22.5101066}, {'lat': 37.5266963, 'lon': 22.5103265}, {'lat': 37.5268686, 'lon': 22.5104982}, {'lat': 37.5270047, 'lon': 22.5106256}, {'lat': 37.5271313, 'lon': 22.5107168}, {'lat': 37.5273302, 'lon': 22.5108428}, {'lat': 37.5275599, 'lon': 22.5109796}, {'lat': 37.5278524, 'lon': 22.5111218}, {'lat': 37.5281502, 'lon': 22.5112639}, {'lat': 37.5284927, 'lon': 22.5114088}, {'lat': 37.5288851, 'lon': 22.5115845}, {'lat': 37.5291361, 'lon': 22.5117159}, {'lat': 37.5294637, 'lon': 22.5119144}, {'lat': 37.5298912, 'lon': 22.5121987}, {'lat': 37.5303847, 'lon': 22.5125635}, {'lat': 37.530808, 'lon': 22.5128397}, {'lat': 37.5312162, 'lon': 22.5130981}, {'lat': 37.5316858, 'lon': 22.5133899}, {'lat': 37.5320466, 'lon': 22.5136216}, {'lat': 37.5322712, 'lon': 22.5137676}, {'lat': 37.5324618, 'lon': 22.5139135}, {'lat': 37.5326319, 'lon': 22.5140594}, {'lat': 37.5327749, 'lon': 22.5142053}, {'lat': 37.5329722, 'lon': 22.5144027}, {'lat': 37.5332241, 'lon': 22.5146259}, {'lat': 37.5334827, 'lon': 22.5148147}, {'lat': 37.5336869, 'lon': 22.5149348}, {'lat': 37.5338667, 'lon': 22.5150083}, {'lat': 37.5340262, 'lon': 22.5150499}, {'lat': 37.5342261, 'lon': 22.515066}, {'lat': 37.5345739, 'lon': 22.5150539}, {'lat': 37.5348185, 'lon': 22.5150351}, {'lat': 37.5350322, 'lon': 22.5150163}, {'lat': 37.5354055, 'lon': 22.5149909}, {'lat': 37.5356735, 'lon': 22.5149935}, {'lat': 37.5358522, 'lon': 22.5150003}, {'lat': 37.536084, 'lon': 22.5150351}, {'lat': 37.5363249, 'lon': 22.5150894}, {'lat': 37.5365689, 'lon': 22.5151733}, {'lat': 37.5367837, 'lon': 22.5152631}, {'lat': 37.5369675, 'lon': 22.5153383}, {'lat': 37.537267, 'lon': 22.515467}, {'lat': 37.5381654, 'lon': 22.5158876}, {'lat': 37.5388064, 'lon': 22.5162086}, {'lat': 37.5390627, 'lon': 22.5163507}, {'lat': 37.5392828, 'lon': 22.5164969}, {'lat': 37.5394083, 'lon': 22.5166149}, {'lat': 37.5395348, 'lon': 22.5167705}, {'lat': 37.5396667, 'lon': 22.516969}, {'lat': 37.539789, 'lon': 22.5171567}, {'lat': 37.5399006, 'lon': 22.5173324}, {'lat': 37.5400431, 'lon': 22.517541}, {'lat': 37.540175, 'lon': 22.5177267}, {'lat': 37.540343, 'lon': 22.5179172}, {'lat': 37.5404738, 'lon': 22.518058}, {'lat': 37.5407354, 'lon': 22.5182738}, {'lat': 37.5408143, 'lon': 22.5183323}, {'lat': 37.5409667, 'lon': 22.5184455}, {'lat': 37.5412043, 'lon': 22.5185904}, {'lat': 37.5415452, 'lon': 22.5187716}, {'lat': 37.5420284, 'lon': 22.5190034}, {'lat': 37.5422802, 'lon': 22.519115}, {'lat': 37.542464, 'lon': 22.5191836}, {'lat': 37.5426818, 'lon': 22.5192437}, {'lat': 37.5429608, 'lon': 22.5193038}, {'lat': 37.5434619, 'lon': 22.5193776}, {'lat': 37.5442551, 'lon': 22.5195332}, {'lat': 37.5449771, 'lon': 22.5197129}, {'lat': 37.5454025, 'lon': 22.5198081}, {'lat': 37.4988441, 'lon': 22.494465}, {'lat': 37.4989667, 'lon': 22.4945938}, {'lat': 37.4991097, 'lon': 22.4947225}, {'lat': 37.4993004, 'lon': 22.4948513}, {'lat': 37.4994638, 'lon': 22.4949371}, {'lat': 37.4996953, 'lon': 22.4950487}, {'lat': 37.5001311, 'lon': 22.4952118}, {'lat': 37.5005669, 'lon': 22.4953749}, {'lat': 37.5009278, 'lon': 22.4955122}, {'lat': 37.501384, 'lon': 22.4956667}, {'lat': 37.5019833, 'lon': 22.4958813}, {'lat': 37.5023646, 'lon': 22.4960358}, {'lat': 37.5027255, 'lon': 22.4961817}, {'lat': 37.5030523, 'lon': 22.4963362}, {'lat': 37.5034472, 'lon': 22.4965336}, {'lat': 37.5039034, 'lon': 22.4967825}, {'lat': 37.5050337, 'lon': 22.4973747}, {'lat': 37.505558, 'lon': 22.4976494}, {'lat': 37.506661, 'lon': 22.4982244}, {'lat': 37.5075664, 'lon': 22.4987043}, {'lat': 37.5080635, 'lon': 22.4989618}, {'lat': 37.5082745, 'lon': 22.4990733}, {'lat': 37.5088329, 'lon': 22.4993652}, {'lat': 37.5094116, 'lon': 22.4996742}, {'lat': 37.5095478, 'lon': 22.4997514}, {'lat': 37.5098337, 'lon': 22.4999059}, {'lat': 37.510129, 'lon': 22.5000697}, {'lat': 37.5103567, 'lon': 22.5002106}, {'lat': 37.5105258, 'lon': 22.5003433}, {'lat': 37.5106801, 'lon': 22.5004989}, {'lat': 37.5108226, 'lon': 22.5006679}, {'lat': 37.5109769, 'lon': 22.5008583}, {'lat': 37.511096, 'lon': 22.5010595}, {'lat': 37.5112024, 'lon': 22.501266}, {'lat': 37.5112875, 'lon': 22.5014457}, {'lat': 37.5113897, 'lon': 22.5016603}, {'lat': 37.5115024, 'lon': 22.501907}, {'lat': 37.5116535, 'lon': 22.5021511}, {'lat': 37.5117896, 'lon': 22.502355}, {'lat': 37.5120386, 'lon': 22.5026554}, {'lat': 37.5122003, 'lon': 22.502811}, {'lat': 37.5124705, 'lon': 22.5030416}, {'lat': 37.5127769, 'lon': 22.5032964}, {'lat': 37.5130336, 'lon': 22.5035194}, {'lat': 37.5133917, 'lon': 22.5038463}, {'lat': 37.5137768, 'lon': 22.5041789}, {'lat': 37.5142932, 'lon': 22.5046437}, {'lat': 37.5149808, 'lon': 22.5052446}, {'lat': 37.5155048, 'lon': 22.5057137}, {'lat': 37.5156616, 'lon': 22.505854}, {'lat': 37.5159815, 'lon': 22.5061372}, {'lat': 37.5162539, 'lon': 22.5063604}, {'lat': 37.5164253, 'lon': 22.5064908}, {'lat': 37.5045869, 'lon': 22.4000786}, {'lat': 37.5046113, 'lon': 22.3999925}, {'lat': 37.5047054, 'lon': 22.3996421}, {'lat': 37.503223, 'lon': 22.4045412}, {'lat': 37.5034251, 'lon': 22.4039357}, {'lat': 37.5035889, 'lon': 22.4034065}, {'lat': 37.5038976, 'lon': 22.4024093}, {'lat': 37.50393, 'lon': 22.4023045}, {'lat': 37.498256, 'lon': 22.4210875}, {'lat': 37.4982217, 'lon': 22.4212361}, {'lat': 37.50393, 'lon': 22.4023045}, {'lat': 37.5039575, 'lon': 22.4022184}, {'lat': 37.5038386, 'lon': 22.4022606}, {'lat': 37.5038018, 'lon': 22.4023638}, {'lat': 37.5034171, 'lon': 22.403643}, {'lat': 37.5033675, 'lon': 22.403838}, {'lat': 37.5033373, 'lon': 22.4039568}, {'lat': 37.5032596, 'lon': 22.4043256}, {'lat': 37.503223, 'lon': 22.4045412}, {'lat': 37.5045874, 'lon': 22.3996778}, {'lat': 37.5045203, 'lon': 22.3998741}, {'lat': 37.5045, 'lon': 22.3999354}, {'lat': 37.5044719, 'lon': 22.400028}, {'lat': 37.5040111, 'lon': 22.4016724}, {'lat': 37.503916, 'lon': 22.4020176}, {'lat': 37.5038674, 'lon': 22.4021707}, {'lat': 37.5044719, 'lon': 22.400028}, {'lat': 37.5044423, 'lon': 22.4001338}, {'lat': 37.5040111, 'lon': 22.4016724}, {'lat': 37.5038674, 'lon': 22.4021707}, {'lat': 37.5038386, 'lon': 22.4022606}, {'lat': 37.5454025, 'lon': 22.5198081}, {'lat': 37.5455805, 'lon': 22.5198644}, {'lat': 37.5457927, 'lon': 22.5199315}, {'lat': 37.5459479, 'lon': 22.5199838}, {'lat': 37.5460734, 'lon': 22.5200267}, {'lat': 37.5461883, 'lon': 22.520083}, {'lat': 37.5463127, 'lon': 22.5201796}, {'lat': 37.5464637, 'lon': 22.5203539}, {'lat': 37.5465689, 'lon': 22.5205336}, {'lat': 37.5466806, 'lon': 22.5207643}, {'lat': 37.546738, 'lon': 22.52094}, {'lat': 37.5467752, 'lon': 22.5211157}, {'lat': 37.5467837, 'lon': 22.5212686}, {'lat': 37.5467816, 'lon': 22.5214697}, {'lat': 37.5467539, 'lon': 22.5216454}, {'lat': 37.503223, 'lon': 22.4045412}, {'lat': 37.5032004, 'lon': 22.4046369}, {'lat': 37.5029808, 'lon': 22.4054763}, {'lat': 37.5027723, 'lon': 22.4061468}, {'lat': 37.5027159, 'lon': 22.4063145}, {'lat': 37.5025153, 'lon': 22.4068889}, {'lat': 37.5024447, 'lon': 22.4071087}, {'lat': 37.5021757, 'lon': 22.4079932}, {'lat': 37.5019132, 'lon': 22.4088511}, {'lat': 37.5017307, 'lon': 22.409439}, {'lat': 37.5012073, 'lon': 22.4110781}, {'lat': 37.5212771, 'lon': 22.5072527}, {'lat': 37.5214958, 'lon': 22.5073388}, {'lat': 37.5219519, 'lon': 22.5075191}, {'lat': 37.5224312, 'lon': 22.5077046}, {'lat': 37.5164253, 'lon': 22.5064908}, {'lat': 37.5165885, 'lon': 22.5066112}, {'lat': 37.5167374, 'lon': 22.5066954}, {'lat': 37.5169778, 'lon': 22.5068128}, {'lat': 37.5171211, 'lon': 22.5068668}, {'lat': 37.5171818, 'lon': 22.5068897}, {'lat': 37.5173774, 'lon': 22.5069501}, {'lat': 37.5175265, 'lon': 22.5069831}, {'lat': 37.5177052, 'lon': 22.5070126}, {'lat': 37.5179392, 'lon': 22.5070274}, {'lat': 37.5181637, 'lon': 22.5070354}, {'lat': 37.5184179, 'lon': 22.507026}, {'lat': 37.5186998, 'lon': 22.507014}, {'lat': 37.5189657, 'lon': 22.5069952}, {'lat': 37.519421, 'lon': 22.5069523}, {'lat': 37.5198039, 'lon': 22.5069094}, {'lat': 37.5200017, 'lon': 22.5069}, {'lat': 37.5201719, 'lon': 22.506904}, {'lat': 37.5203262, 'lon': 22.5069188}, {'lat': 37.5204878, 'lon': 22.5069509}, {'lat': 37.5206708, 'lon': 22.5070073}, {'lat': 37.5208389, 'lon': 22.5070716}, {'lat': 37.5209995, 'lon': 22.50714}, {'lat': 37.5212771, 'lon': 22.5072527}, {'lat': 37.5039575, 'lon': 22.4022184}, {'lat': 37.5040313, 'lon': 22.4019676}, {'lat': 37.5045551, 'lon': 22.4001868}, {'lat': 37.5045869, 'lon': 22.4000786}, {'lat': 37.4981121, 'lon': 22.4217188}, {'lat': 37.4980771, 'lon': 22.4218731}, {'lat': 37.497777, 'lon': 22.4231896}, {'lat': 37.4977238, 'lon': 22.4234363}, {'lat': 37.4975323, 'lon': 22.424273}, {'lat': 37.4973819, 'lon': 22.4249357}, {'lat': 37.497225, 'lon': 22.4256371}, {'lat': 37.4971483, 'lon': 22.425977}, {'lat': 37.4971366, 'lon': 22.4260233}, {'lat': 37.4969567, 'lon': 22.4268498}, {'lat': 37.4967547, 'lon': 22.4277554}, {'lat': 37.496729, 'lon': 22.427862}, {'lat': 37.4965047, 'lon': 22.4288099}, {'lat': 37.4962993, 'lon': 22.4296316}, {'lat': 37.496165, 'lon': 22.430331}, {'lat': 37.4961097, 'lon': 22.4306904}, {'lat': 37.4960831, 'lon': 22.4309586}, {'lat': 37.4960811, 'lon': 22.4312911}, {'lat': 37.496082, 'lon': 22.4315581}, {'lat': 37.4960878, 'lon': 22.4317338}, {'lat': 37.4961022, 'lon': 22.4320677}, {'lat': 37.4961299, 'lon': 22.4323574}, {'lat': 37.4961682, 'lon': 22.4326256}, {'lat': 37.4962044, 'lon': 22.4328589}, {'lat': 37.4962395, 'lon': 22.4330561}, {'lat': 37.4962472, 'lon': 22.433093}, {'lat': 37.4962895, 'lon': 22.4332948}, {'lat': 37.4963768, 'lon': 22.4338152}, {'lat': 37.4964289, 'lon': 22.4342027}, {'lat': 37.4964763, 'lon': 22.4347499}, {'lat': 37.4965108, 'lon': 22.4353145}, {'lat': 37.4965305, 'lon': 22.4356323}, {'lat': 37.5012073, 'lon': 22.4110781}, {'lat': 37.5009182, 'lon': 22.4120055}]"
Άστρους,376638922,way,residential,Άστρους,"[{'lat': 37.5051746, 'lon': 22.3733702}, {'lat': 37.5052342, 'lon': 22.3734896}, {'lat': 37.5053363, 'lon': 22.373676}, {'lat': 37.5053539, 'lon': 22.3737364}, {'lat': 37.5053736, 'lon': 22.3738624}, {'lat': 37.5054693, 'lon': 22.3743626}, {'lat': 37.5055504, 'lon': 22.3747652}]"
Άτλαντος,991637364,way,residential,Άτλαντος,"[{'lat': 37.5099056, 'lon': 22.364413}, {'lat': 37.5097439, 'lon': 22.3644157}, {'lat': 37.509631, 'lon': 22.3644114}, {'lat': 37.5094731, 'lon': 22.3643565}, {'lat': 37.5094162, 'lon': 22.364346}, {'lat': 37.5093147, 'lon': 22.3643486}, {'lat': 37.5092737, 'lon': 22.364356}, {'lat': 37.5092737, 'lon': 22.364356}, {'lat': 37.5091742, 'lon': 22.3643775}, {'lat': 37.5091317, 'lon': 22.3643815}, {'lat': 37.5090716, 'lon': 22.3643721}, {'lat': 37.5090226, 'lon': 22.3643587}, {'lat': 37.5089764, 'lon': 22.3643386}, {'lat': 37.5088567, 'lon': 22.3642534}, {'lat': 37.5087343, 'lon': 22.364134}, {'lat': 37.5086939, 'lon': 22.3641012}, {'lat': 37.5086524, 'lon': 22.364075}, {'lat': 37.5085867, 'lon': 22.3640472}, {'lat': 37.5084899, 'lon': 22.3640227}, {'lat': 37.5084484, 'lon': 22.3640137}, {'lat': 37.5084176, 'lon': 22.3640107}, {'lat': 37.5083915, 'lon': 22.3640107}, {'lat': 37.5083447, 'lon': 22.3640206}, {'lat': 37.5083287, 'lon': 22.3640266}, {'lat': 37.5083138, 'lon': 22.3640352}, {'lat': 37.5083023, 'lon': 22.3640483}]"
Ήρας,376361377,way,residential,Ήρας,"[{'lat': 37.515298, 'lon': 22.3776202}, {'lat': 37.5153852, 'lon': 22.3776765}, {'lat': 37.515432, 'lon': 22.3777261}, {'lat': 37.515882, 'lon': 22.378213}, {'lat': 37.5159187, 'lon': 22.378272}, {'lat': 37.5159931, 'lon': 22.3783866}]"
Α. Παπαδιαμάντη,983708725,way,residential,Α. Παπαδιαμάντη,"[{'lat': 37.5172209, 'lon': 22.3724971}, {'lat': 37.5171681, 'lon': 22.372101}]"
Αγίας Αικατερίνης,376984487,way,residential,Αγίας Αικατερίνης,"[{'lat': 37.5020776, 'lon': 22.3663133}, {'lat': 37.5023664, 'lon': 22.3658851}, {'lat': 37.5024903, 'lon': 22.3657083}, {'lat': 37.5025852, 'lon': 22.3655706}, {'lat': 37.5026404, 'lon': 22.3654912}, {'lat': 37.5027231, 'lon': 22.3653807}, {'lat': 37.5028071, 'lon': 22.3652675}, {'lat': 37.5028756, 'lon': 22.3651709}, {'lat': 37.5029492, 'lon': 22.3650687}, {'lat': 37.5030039, 'lon': 22.365006}, {'lat': 37.5030734, 'lon': 22.3649206}]"
